id,datetime,tempmax,tempmin,temp,humidity,windspeed,pressure,visibility,conditions,year,decade,,,,,,,,
93,4/3/1973,98.7,64.5,79.8,31.45,13.6,1008.1,3,Clear,1973,1970s,,,,,,,,
94,4/4/1973,96.9,66.3,85.3,27.52,4.5,1006.9,6.7,Partially cloudy,1973,1970s,,,,,,,,
95,4/5/1973,100.5,69.9,89.2,25.78,11.4,1005.6,2.2,Partially cloudy,1973,1970s,,,,,,,,
96,4/6/1973,96.9,73.5,86.4,35.23,11.4,1008.2,2.3,Partially cloudy,1973,1970s,,,,,,,,
97,4/7/1973,96.9,75.3,87.6,27.13,15,1005.6,2.5,Partially cloudy,1973,1970s,,,,,,,,
98,4/8/1973,93.3,69.9,82,34.51,19.5,1007.6,3.6,Clear,1973,1970s,,,,,,,,
99,4/9/1973,100.5,71.7,83.4,32.62,18.3,1006.4,3,Partially cloudy,1973,1970s,,,,,,,,
100,4/10/1973,96.9,71.7,87.1,33.74,17.2,1003.7,3.6,Partially cloudy,1973,1970s,,,,,,,,
101,4/11/1973,104.1,75.3,91.2,32.26,6.7,1001.9,2.5,Partially cloudy,1973,1970s,,,,,,,,
102,4/12/1973,100.5,80.7,91,28.24,12.5,1002.2,3.4,Clear,1973,1970s,,,,,,,,
103,4/13/1973,104.1,78.9,93.3,26.57,5.6,1001.4,2.3,Partially cloudy,1973,1970s,,,,,,,,
104,4/14/1973,100.5,87.9,93.3,18.7,17.2,1001,1.6,Clear,1973,1970s,,,,,,,,
105,4/15/1973,93.3,77.1,86.3,23.68,11.4,1002.6,2.1,Clear,1973,1970s,,,,,,,,
106,4/16/1973,91.5,71.7,82.5,27.07,11.4,1007.1,2,Clear,1973,1970s,,,,,,,,
107,4/17/1973,93.3,68.1,82,30.7,19.5,1009.1,2.5,Clear,1973,1970s,,,,,,,,
108,4/18/1973,98.7,69.9,87.9,26.31,23,1004.9,2.5,Clear,1973,1970s,,,,,,,,
109,4/19/1973,102.3,73.5,88.7,30.81,27.5,1004.2,2.5,Clear,1973,1970s,,,,,,,,
110,4/20/1973,104.1,75.3,92.1,27.33,17.2,1002.9,2.5,Clear,1973,1970s,,,,,,,,
111,4/21/1973,104.1,77.1,91.5,30.54,13.6,1002.4,3.7,Partially cloudy,1973,1970s,,,,,,,,
112,4/22/1973,105.9,75.3,93.3,28.58,3.4,1001,3.7,Clear,1973,1970s,,,,,,,,
113,4/23/1973,105.9,77.1,92.8,31.27,4.5,1001.3,2.5,Clear,1973,1970s,,,,,,,,
114,4/24/1973,105.9,80.7,93.3,29.07,8.1,1001.6,2.5,Clear,1973,1970s,,,,,,,,
115,4/25/1973,107.7,82.5,94.6,23.44,12.5,1003.4,2.3,Clear,1973,1970s,,,,,,,,
116,4/26/1973,105.9,77.1,94.6,24.55,2.2,1003,1.7,Partially cloudy,1973,1970s,,,,,,,,
117,4/27/1973,105.9,84.3,95.4,26.3,16.1,1000.6,2.5,Clear,1973,1970s,,,,,,,,
118,4/28/1973,104.1,80.7,93.1,31.28,19.5,999.2,2.2,Clear,1973,1970s,,,,,,,,
119,4/29/1973,105.9,64.5,89.7,29.55,12.5,1003.2,3.1,Clear,1973,1970s,,,,,,,,
120,4/30/1973,107.7,82.5,95.1,12.85,13.6,1000.8,3.4,Clear,1973,1970s,,,,,,,,
121,5/1/1973,109.5,87.9,97.8,10.98,11.4,999.3,2.5,Clear,1973,1970s,,,,,,,,
122,5/2/1973,102.3,82.5,90.8,37.53,11.4,1000.7,2,Clear,1973,1970s,,,,,,,,
123,5/3/1973,105.9,86.1,93.7,33.93,15,1001,2.5,Clear,1973,1970s,,,,,,,,
124,5/4/1973,102.3,86.1,94.2,36.16,6.7,1002.4,1.6,Clear,1973,1970s,,,,,,,,
125,5/5/1973,107.7,86.1,94.7,29.09,9.2,1003.2,2.5,Clear,1973,1970s,,,,,,,,
126,5/6/1973,109.5,84.3,98.2,24.42,13.6,999.9,3.4,Clear,1973,1970s,,,,,,,,
127,5/7/1973,109.5,87.9,100.5,24.46,16.1,998.2,2.5,Clear,1973,1970s,,,,,,,,
128,5/8/1973,111.3,86.1,98.7,17.73,10.3,995.5,2.8,Clear,1973,1970s,,,,,,,,
129,5/9/1973,111.3,82.5,99.4,14.77,10.3,993.1,2.2,Clear,1973,1970s,,,,,,,,
130,5/10/1973,105.9,91.5,99.6,7.52,15,996.2,0.8,Clear,1973,1970s,,,,,,,,
131,5/11/1973,104.1,82.5,93.8,18.07,3.4,1000.4,1.2,Clear,1973,1970s,,,,,,,,
132,5/12/1973,104.1,77.1,95.1,18,8.1,1001,2.1,Clear,1973,1970s,,,,,,,,
133,5/13/1973,105.9,78.9,88.9,26.48,18.3,998.7,2.1,Clear,1973,1970s,,,,,,,,
134,5/14/1973,102.3,71.7,88.2,49.18,16.1,999.4,1.1,Partially cloudy,1973,1970s,,,,,,,,
135,5/15/1973,91.5,75.3,85.1,59.27,5.6,1001.4,1.1,Partially cloudy,1973,1970s,,,,,,,,
136,5/16/1973,84.3,77.1,80.7,63.06,18.3,1001,1.3,Partially cloudy,1973,1970s,,,,,,,,
137,5/17/1973,89.7,73.5,80.7,54.95,18.3,1004.7,2.3,Partially cloudy,1973,1970s,,,,,,,,
138,5/18/1973,91.5,73.5,82.7,48.55,10.3,1004.2,2.8,Clear,1973,1970s,,,,,,,,
139,5/19/1973,95.1,77.1,87,43.44,3.4,1003.8,2.1,Clear,1973,1970s,,,,,,,,
140,5/20/1973,100.5,77.1,91,38.56,10.3,1003.3,2.6,Clear,1973,1970s,,,,,,,,
141,5/21/1973,102.3,82.5,91.5,38.82,10.3,1001.8,2.1,Clear,1973,1970s,,,,,,,,
142,5/22/1973,104.1,82.5,95.3,37.12,17.2,1001.7,6.5,Clear,1973,1970s,,,,,,,,
143,5/23/1973,105.9,86.1,93.8,51.33,12.5,1002.1,2.3,Clear,1973,1970s,,,,,,,,
144,5/24/1973,105.9,82.5,93.9,55.05,4.5,1001.9,1.2,Clear,1973,1970s,,,,,,,,
145,5/25/1973,107.7,84.3,96,27.94,15,1001.8,2.3,Clear,1973,1970s,,,,,,,,
146,5/26/1973,109.5,86.1,98.4,23.81,16.1,999.4,2.5,Clear,1973,1970s,,,,,,,,
147,5/27/1973,109.5,84.3,98.1,28.92,4.5,997.9,2.1,Clear,1973,1970s,,,,,,,,
148,5/28/1973,105.9,84.3,96,32.79,18.3,994.6,0.9,Partially cloudy,1973,1970s,,,,,,,,
149,5/29/1973,98.7,80.7,90.5,36.4,21.7,998.1,2.8,Partially cloudy,1973,1970s,,,,,,,,
150,5/30/1973,96.9,77.1,88.8,38.33,10.3,999.7,2.5,Partially cloudy,1973,1970s,,,,,,,,
151,5/31/1973,98.7,80.7,90.1,43.42,4.5,1001.2,2,Partially cloudy,1973,1970s,,,,,,,,
152,6/1/1973,100.5,82.5,92.7,32.83,5.8,1001.5,0.6,Partially cloudy,1973,1970s,,,,,,,,
153,6/2/1973,104.1,86.1,96,29.75,9.2,1001.6,1.4,Partially cloudy,1973,1970s,,,,,,,,
154,6/3/1973,105.9,82.5,94.6,37.51,3.4,1001.1,1.5,Clear,1973,1970s,,,,,,,,
155,6/4/1973,107.7,86.1,97.2,37.1,0,997.6,1.2,Clear,1973,1970s,,,,,,,,
156,6/5/1973,109.5,87.9,99.5,35.64,2.2,996.1,1.5,Clear,1973,1970s,,,,,,,,
157,6/6/1973,111.3,93.3,102.7,21.43,15,995.1,0.9,Clear,1973,1970s,,,,,,,,
158,6/7/1973,107.7,95.1,100.5,24.69,11.4,995.1,0.6,Clear,1973,1970s,,,,,,,,
159,6/8/1973,105.9,93.3,99.4,35.49,13.9,995.3,1,Partially cloudy,1973,1970s,,,,,,,,
160,6/9/1973,98.7,86.1,92.5,50.84,9.2,997.7,1.5,Partially cloudy,1973,1970s,,,,,,,,
161,6/10/1973,98.7,86.1,92.4,53.61,6.9,998.6,2.2,Partially cloudy,1973,1970s,,,,,,,,
162,6/11/1973,100.5,87.9,95.6,48.45,8.1,998.2,2.1,Partially cloudy,1973,1970s,,,,,,,,
163,6/12/1973,98.7,87.9,93.3,54.12,13.9,998.1,1.8,Partially cloudy,1973,1970s,,,,,,,,
164,6/13/1973,95.1,89.7,91.8,56.56,16.1,993.8,1.1,Partially cloudy,1973,1970s,,,,,,,,
165,6/14/1973,104.1,86.1,95.1,47.26,25.3,989.9,1.1,"Rain, Partially cloudy",1973,1970s,,,,,,,,
166,6/15/1973,102.3,87.8,95.3,49.06,27.7,984.9,0.4,Clear,1973,1970s,,,,,,,,
167,6/16/1973,98.7,87.9,92.5,56.61,17.2,986.1,0.4,Clear,1973,1970s,,,,,,,,
168,6/17/1973,98.7,84.3,89.4,62.06,13.8,988.4,1.3,Partially cloudy,1973,1970s,,,,,,,,
169,6/18/1973,89.7,78.9,83.3,73.36,15,994,2.5,"Rain, Partially cloudy",1973,1970s,,,,,,,,
170,6/19/1973,93.3,78.9,85.8,73.41,8.1,995,2.5,Partially cloudy,1973,1970s,,,,,,,,
171,6/20/1973,95.1,82.5,89.2,64.85,11.4,995.6,2.2,Partially cloudy,1973,1970s,,,,,,,,
172,6/21/1973,95.1,82.4,86.9,68.41,10.3,998.6,2.5,"Rain, Partially cloudy",1973,1970s,,,,,,,,
173,6/22/1973,93.3,82.5,87.4,66.76,13.9,999.3,1.4,Partially cloudy,1973,1970s,,,,,,,,
174,6/23/1973,98.7,86.1,92.3,55.05,12.7,998.2,0.6,Clear,1973,1970s,,,,,,,,
175,6/24/1973,102.3,87.9,94,50.85,11.4,998.1,0.6,Clear,1973,1970s,,,,,,,,
176,6/25/1973,104.1,89.7,95.1,48.13,15,998.2,0.9,Clear,1973,1970s,,,,,,,,
177,6/26/1973,105.9,91.5,96.1,46.14,8.1,996.6,1.5,Clear,1973,1970s,,,,,,,,
178,6/27/1973,102.3,82.5,93.6,54.73,8.1,995.7,1.5,Partially cloudy,1973,1970s,,,,,,,,
179,6/28/1973,89.7,78.9,82.8,75.6,9.2,997.5,2.5,Partially cloudy,1973,1970s,,,,,,,,
180,6/29/1973,96.9,80.7,91,59.53,8.1,997.6,1.5,"Rain, Partially cloudy",1973,1970s,,,,,,,,
181,6/30/1973,102.3,84.3,93.7,57.64,9.2,997.6,1.5,Partially cloudy,1973,1970s,,,,,,,,
182,7/1/1973,98.7,86.1,93.9,57.46,13.9,998.1,2,Partially cloudy,1973,1970s,,,,,,,,
183,7/2/1973,100.5,82.5,89,64.97,27.7,998.8,2.3,Partially cloudy,1973,1970s,,,,,,,,
184,7/3/1973,95.1,80.7,87.4,64.86,9.2,998.4,3.9,Partially cloudy,1973,1970s,,,,,,,,
185,7/4/1973,93.3,84.3,89.2,68.56,34.4,995.2,2.3,Partially cloudy,1973,1970s,,,,,,,,
186,7/5/1973,86.1,77.1,82.5,76.53,11.4,996.2,3,"Rain, Partially cloudy",1973,1970s,,,,,,,,
187,7/6/1973,95.1,80.7,89.1,67.38,9.2,995.9,2.5,Partially cloudy,1973,1970s,,,,,,,,
188,7/7/1973,96.9,82.5,92,58.68,10.3,994,3.6,Partially cloudy,1973,1970s,,,,,,,,
189,7/8/1973,98.7,82.5,92.4,54.76,18.3,993.2,3.4,Partially cloudy,1973,1970s,,,,,,,,
190,7/9/1973,100.5,89.7,94.6,47.01,13.9,994,2.7,Partially cloudy,1973,1970s,,,,,,,,
191,7/10/1973,100.5,84.3,95.4,49.87,9.2,993.8,5.6,Partially cloudy,1973,1970s,,,,,,,,
192,7/11/1973,102.3,87.9,95.1,52.49,6.9,994.5,3.9,Partially cloudy,1973,1970s,,,,,,,,
193,7/12/1973,95.1,89.7,92.1,59.43,6.9,994.9,1.9,Partially cloudy,1973,1970s,,,,,,,,
194,7/13/1973,86.1,80.7,83.7,81.75,6.9,996.9,2.1,Partially cloudy,1973,1970s,,,,,,,,
195,7/14/1973,93.3,82.5,85.9,82.65,6.9,997,2.4,"Rain, Overcast",1973,1970s,,,,,,,,
196,7/15/1973,84.3,77.1,80.2,88.34,16.1,998,2,"Rain, Partially cloudy",1973,1970s,,,,,,,,
197,7/16/1973,89.7,77.1,84.6,80.7,4.7,998.9,2.3,Partially cloudy,1973,1970s,,,,,,,,
198,7/17/1973,93.3,80.7,86.8,76.91,5.8,998.9,2.5,"Rain, Partially cloudy",1973,1970s,,,,,,,,
199,7/18/1973,93.3,82.5,87.6,71.9,13.9,997.9,2.5,Partially cloudy,1973,1970s,,,,,,,,
200,7/19/1973,93.3,84.3,87.9,72.11,6.9,996.5,2.5,Partially cloudy,1973,1970s,,,,,,,,
201,7/20/1973,89.7,78.9,82.7,83.34,6.9,999.2,3,Partially cloudy,1973,1970s,,,,,,,,
